"Voltage, V",uncertainty,"Capacitor calibrated , F",uncertainty
0.001256,0.000001,2.49111E-10,4.37233E-13
0.001446,0.000001,2.36418E-10,4.37233E-13
0.001689,0.000001,2.24131E-10,4.37233E-13
0.001941,0.000001,2.12255E-10,4.37233E-13
0.00222,0.000001,2.00798E-10,4.37233E-13
0.002254,0.000001,1.89766E-10,4.37233E-13
0.002839,0.000001,1.79165E-10,4.37233E-13
0.003128,0.000001,1.69001E-10,4.37233E-13
0.003372,0.000001,1.5928E-10,4.37233E-13
0.003611,0.000001,1.50009E-10,4.37233E-13
0.003769,0.000001,1.41194E-10,4.37233E-13
0.003866,0.000001,1.32842E-10,4.37233E-13
0.003895,0.000001,1.24958E-10,4.37233E-13
0.003856,0.000001,1.17549E-10,4.37233E-13
0.00377,0.000001,1.10621E-10,4.37233E-13
0.00364,0.000002,1.0418E-10,4.37233E-13
0.003463,0.000002,9.82333E-11,4.37233E-13
0.003258,0.000001,9.27864E-11,4.37233E-13
0.003067,0.000001,8.78459E-11,4.37233E-13
0.002874,0.000001,8.34178E-11,4.37233E-13
0.002676,0.000001,7.95086E-11,4.37233E-13
0.002502,0.000001,7.61245E-11,4.37233E-13
0.002356,0.000001,7.32717E-11,4.37233E-13
0.002234,0.000001,7.09566E-11,4.37233E-13
0.002114,0.000001,6.91854E-11,4.37233E-13
0.00203,0.000001,6.79644E-11,4.37233E-13
0.001976,0.000001,6.72999E-11,4.37233E-13
0.001944,0.000001,6.71981E-11,4.37233E-13
0.00193,0.000001,6.76654E-11,4.37233E-13
0.00192,0.000001,6.8708E-11,4.37233E-13
