"Voltage, V",uncertainty,"Capacitor calibrated , F",uncertainty
0.011444,0.000001,9.23388E-10,4.37233E-13
0.013465,0.000002,9.00266E-10,4.37233E-13
0.015358,0.000002,8.77324E-10,4.37233E-13
0.017515,0.000002,8.54568E-10,4.37233E-13
0.01979,0.000002,8.32004E-10,4.37233E-13
0.022125,0.000002,8.09639E-10,4.37233E-13
0.024344,0.000002,7.87479E-10,4.37233E-13
0.026311,0.000003,7.6553E-10,4.37233E-13
0.028032,0.000002,7.43799E-10,4.37233E-13
0.02906,0.000002,7.22291E-10,4.37233E-13
0.029415,0.000003,7.01014E-10,4.37233E-13
0.029138,0.000002,6.79972E-10,4.37233E-13
0.028213,0.000003,6.59174E-10,4.37233E-13
0.026685,0.000002,6.38624E-10,4.37233E-13
0.025018,0.000004,6.1833E-10,4.37233E-13
0.023174,0.000002,5.98297E-10,4.37233E-13
0.021254,0.000002,5.78531E-10,4.37233E-13
0.019406,0.000003,5.5904E-10,4.37233E-13
0.017526,0.000003,5.39829E-10,4.37233E-13
0.01595,0.000002,5.20904E-10,4.37233E-13
0.014385,0.000002,5.02272E-10,4.37233E-13
0.012989,0.000002,4.8394E-10,4.37233E-13
