alpha,diff_c,err
1.234567901,9.70E-11,9.35E-13
1.5625,1.41E-10,9.35E-13
2.040816327,1.77E-10,9.35E-13
2.777777778,2.12E-10,9.35E-13
4,2.47E-10,9.35E-13
6.25,2.65E-10,9.35E-13
11.11111111,2.65E-10,9.35E-13
