alpha,diff_c,err
1.234567901,1.19E-10,9.35E-13
1.5625,1.76E-10,9.35E-13
2.040816327,2.26E-10,9.35E-13
2.777777778,2.77E-10,9.35E-13
4,3.34E-10,9.35E-13
6.25,3.54E-10,9.35E-13
11.11111111,3.54E-10,9.35E-13
