alpha,diff_c,err
1.234567901,1.62E-10,9.35E-13
1.5625,2.40E-10,9.35E-13
2.040816327,3.12E-10,9.35E-13
2.777777778,3.91E-10,9.35E-13
4,4.85E-10,9.35E-13
6.25,5.21E-10,9.35E-13
11.11111111,5.21E-10,9.35E-13
