alpha,diff_c,err
1.234567901,1.23E-10,9.35E-13
1.5625,1.81E-10,9.35E-13
2.040816327,2.33E-10,9.35E-13
2.777777778,2.85E-10,9.35E-13
4,3.39E-10,9.35E-13
6.25,3.61E-10,9.35E-13
11.11111111,3.61E-10,9.35E-13
