alpha,diff_c,err
1.234567901,1.01E-10,9.35E-13
1.5625,1.49E-10,9.35E-13
2.040816327,1.91E-10,9.35E-13
2.777777778,2.33E-10,9.35E-13
4,2.63E-10,9.35E-13
6.25,2.73E-10,9.35E-13
11.11111111,2.73E-10,9.35E-13
