Time,Channel A
(s),(V)

0.00000000,2.12027300
0.00666670,2.15704800
0.01333340,2.09906300
0.02000010,2.15765900
0.02666680,2.12439300
0.03333350,2.10119900
0.04000020,2.18298900
0.04666690,2.08731300
0.05333360,2.16254200
0.06000030,2.11600100
0.06666700,2.12637700
0.07333370,2.16834000
0.08000040,2.08624500
0.08666710,2.19031300
0.09333380,2.09738400
0.10000050,2.14194200
0.10666720,2.15521700
0.11333390,2.10242000
0.12000060,2.16681400
0.12666730,2.11508500
0.13333400,2.13965300
0.14000070,2.13156500
0.14666740,2.13736400
0.15333410,2.15308100
0.16000080,2.10638800
0.16666750,2.16757700
0.17333420,2.11218600
0.18000090,2.14896100
0.18666760,2.14651900
0.19333430,2.10409900
0.20000100,2.17078200
0.20666770,2.10959200
0.21333440,2.16223600
0.22000110,2.13431200
0.22666780,2.12912400
0.23333450,2.15628500
0.24000120,2.11279600
0.24666790,2.16055800
0.25333460,2.13538000
0.26000130,2.13370200
0.26666800,2.14346700
0.27333470,2.12485100
0.28000140,2.12637700
0.28666810,2.17078200
0.29333480,2.11355900
0.30000150,2.17551200
0.30666819,2.11737400
0.31333489,2.12805600
0.32000159,2.16605100
0.32666829,2.09677400
0.33333499,2.18237900
0.34000169,2.11157600
0.34666839,2.12805600
0.35333509,2.15903200
0.36000179,2.11020200
0.36666849,2.18833000
0.37333519,2.11493300
0.38000189,2.14880800
0.38666859,2.13995800
0.39333529,2.12256200
0.40000199,2.17352800
0.40666869,2.10211500
0.41333539,2.15063900
0.42000209,2.13126000
0.42666879,2.12729300
0.43333549,2.18237900
0.44000219,2.10913400
0.44666889,2.16422000
0.45333559,2.12210500
0.46000229,2.12057900
0.46666899,2.17200200
0.47333569,2.12271500
0.48000239,2.14392500
0.48666909,2.16422000
0.49333579,2.09662200
0.50000249,2.17291800
0.50666919,2.12530900
0.51333589,2.13568500
0.52000259,2.17352800
0.52666929,2.09524800
0.53333599,2.18619300
0.54000269,2.10501400
0.54666939,2.14850300
0.55333609,2.18161600
0.56000279,2.08639800
0.56666949,2.20526700
0.57333619,2.08746600
0.58000289,2.17032400
0.58666959,2.15201300
0.59333629,2.10226800
0.60000299,2.19443300
0.60666969,2.08792400
0.61333639,2.19168700
0.62000309,2.13782200
0.62666979,2.11462800
0.63333649,2.20847200
0.64000319,2.09112800
0.64666989,2.17917400
0.65333659,2.14041600
0.66000329,2.10074200
0.66666999,2.20160500
0.67333669,2.10531900
0.68000339,2.16864500
0.68667009,2.16101600
0.69333679,2.09845300
0.70000349,2.21305000
0.70667019,2.10089400
0.71333689,2.18771900
0.72000359,2.13507500
0.72667029,2.12622500
0.73333699,2.19061900
0.74000369,2.08258300
0.74667039,2.20389400
0.75333709,2.11722200
0.76000379,2.15231800
0.76667049,2.17383300
0.77333719,2.08014200
0.78000389,2.21213400
0.78667059,2.10623500
0.79333729,2.15994700
0.80000399,2.14224700
0.80667069,2.08655000
0.81333739,2.19306000
0.82000409,2.12881900
0.82667079,2.17810600
0.83333749,2.12622500
0.84000419,2.11508500
0.84667089,2.17551200
0.85333759,2.07998900
0.86000429,2.22479900
0.86667099,2.05465900
0.87333769,2.18756700
0.88000439,2.14377300
0.88667109,2.07525900
0.89333779,2.27805400
0.90000449,2.01193300
0.90667119,2.21076100
0.91333788,2.11371200
0.92000458,2.04840200
0.92667128,2.27546000
0.93333798,2.00888100
0.94000468,2.20801400
0.94667138,2.10028400
0.95333808,2.11905300
0.96000478,2.22037400
0.96667148,2.06778200
0.97333818,2.19901100
0.98000488,2.08594000
0.98667158,2.15353900
0.99333828,2.14560400
1.00000498,2.08578800
1.00667168,2.19275500
1.01333838,2.07419000
1.02000508,2.17246000
1.02667178,2.12408800
1.03333848,2.14041600
1.04000518,2.19382300
1.04667188,2.08029400
1.05333858,2.17993700
1.06000528,2.10257300
1.06667198,2.15292800
1.07333868,2.15659000
1.08000538,2.09707900
1.08667208,2.18268400
1.09333878,2.08868700
1.10000548,2.19000800
1.10667218,2.14529900
1.11333888,2.11996800
1.12000558,2.18512500
1.12667228,2.07953100
1.13333898,2.17810600
1.14000568,2.13263300
1.14667238,2.13629600
1.15333908,2.15170700
1.16000578,2.09631600
1.16667248,2.17673300
1.17333918,2.13171800
