Time,Channel A
(s),(V)

0.00000000,4.83687900
0.00666670,4.78469200
0.01333340,4.83733700
0.02000010,4.56709500
0.02666680,4.73754100
0.03333350,4.84069300
0.04000020,4.83489500
0.04666690,4.83596300
0.05333360,4.83718400
0.06000030,4.58220100
0.06666700,4.83550500
0.07333370,4.84069300
0.08000040,4.69573100
0.08666710,4.83977800
0.09333380,4.64110200
0.10000050,4.83703100
0.10666720,4.82299300
0.11333390,4.84191400
0.12000060,4.83993100
0.12666730,4.83809900
0.13333400,4.83687900
0.14000070,4.34751400
0.14666740,4.83840500
0.15333410,4.83733700
0.16000080,4.84878100
0.16666750,4.83397900
0.17333420,4.84023600
0.18000090,4.75157900
0.18666760,4.83489500
0.19333430,4.83047000
0.20000100,4.83840500
0.20666770,4.73281000
0.21333440,4.60402300
0.22000110,4.83703100
0.22666780,4.81948300
0.23333450,4.82909600
0.24000120,4.67604600
0.24666790,4.84237200
0.25333460,4.76851700
0.26000130,4.83901500
0.26666800,4.84695000
0.27333470,4.81856700
0.28000140,4.84130400
0.28666810,4.83825200
0.29333480,4.26679300
0.30000150,4.83901500
0.30666819,4.83535200
0.31333489,4.82055100
0.32000159,4.83001200
0.32666829,4.84923800
0.33333499,4.83809900
0.34000169,4.83855700
0.34666839,4.83474200
0.35333509,4.73769300
0.36000179,4.84084600
0.36666849,4.52223300
0.37333519,4.83321600
0.38000189,4.83748900
0.38666859,4.80681800
0.39333529,4.71144800
0.40000199,4.84084600
0.40666869,4.84069300
0.41333539,4.72777500
0.42000209,4.77095800
0.42666879,4.83275800
0.43333549,4.83626800
0.44000219,4.82940100
0.44666889,4.80407100
0.45333559,4.25107600
0.46000229,4.83962500
0.46666899,4.45967000
0.47333569,4.82329800
0.48000239,4.80010400
0.48666909,4.71907700
0.49333579,4.37574400
0.50000249,4.82985900
0.50666919,4.75081600
0.51333589,4.35087100
0.52000259,4.53215100
0.52666929,4.83275800
0.53333599,4.84710200
0.54000269,4.64232300
0.54666939,4.27076000
0.55333609,4.84099900
0.56000279,4.74654400
0.56666949,4.68932200
0.57333619,4.70778500
0.58000289,4.78820100
0.58666959,4.44532600
0.59333629,4.83947300
0.60000299,4.54847900
0.60666969,4.84084600
0.61333639,4.84069300
0.62000309,4.75325800
0.62666979,4.83275800
0.63333649,4.72655400
0.64000319,4.81261600
0.64666989,4.83550500
0.65333659,4.82238200
0.66000329,4.84984900
0.66666999,4.41618100
0.67333669,4.39115600
0.68000339,4.84115100
0.68667009,4.83489500
0.69333679,4.83550500
0.70000349,4.84328700
0.70667019,4.83626800
0.71333689,4.84527100
0.72000359,4.83626800
0.72667029,4.71755100
0.73333699,4.81917800
0.74000369,4.81872000
0.74667039,4.78148700
0.75333709,4.83687900
0.76000379,4.83397900
0.76667049,4.36842000
0.77333719,4.79461100
0.78000389,4.84984900
0.78667059,4.82802800
0.79333729,4.83809900
0.80000399,4.73509900
0.80667069,4.83535200
0.81333739,4.83779400
0.82000409,4.83855700
0.82667079,4.32844000
0.83333749,4.75768300
0.84000419,4.83611600
0.84667089,4.83092700
0.85333759,4.83550500
0.86000429,4.85076400
0.86667099,4.83794700
0.87333769,4.82726500
0.88000439,4.84542400
0.88667109,4.84496600
0.89333779,4.83672600
0.90000449,4.77141600
0.90667119,4.82100900
0.91333788,4.81551600
0.92000458,4.84099900
0.92667128,4.83840500
0.93333798,4.70595400
0.94000468,4.84084600
0.94667138,4.83718400
0.95333808,4.83733700
0.96000478,4.78515000
0.96667148,4.36811400
0.97333818,4.83794700
0.98000488,4.83672600
0.98667158,4.77187400
0.99333828,4.30570400
1.00000498,4.51170400
1.00667168,4.71236300
1.01333838,4.84176200
1.02000508,4.45951700
1.02667178,4.79140600
1.03333848,4.83932000
1.04000518,4.84283000
1.04667188,4.83596300
1.05333858,4.76683900
1.06000528,4.84160900
1.06667198,4.84221900
1.07333868,4.83718400
1.08000538,4.84160900
1.08667208,4.81292200
1.09333878,4.83352100
1.10000548,4.84588100
1.10667218,4.68001400
1.11333888,4.80437600
1.12000558,4.84023600
1.12667228,4.56617900
1.13333898,4.83825200
1.14000568,4.83901500
1.14667238,4.82024600
1.15333908,4.83657400
1.16000578,4.82238200
1.16667248,4.83901500
1.17333918,4.83825200
