Time,Channel A
(s),(V)

0.00000000,3.71059300
0.00666670,3.70647300
0.01333340,3.71257700
0.02000010,3.70632000
0.02666680,3.71013500
0.03333350,3.71135600
0.04000020,3.71166100
0.04666690,3.71334000
0.05333360,3.70708300
0.06000030,3.71272900
0.06666700,3.71684900
0.07333370,3.70174300
0.08000040,3.71669700
0.08666710,3.69975900
0.09333380,3.70754100
0.10000050,3.71654400
0.10666720,3.70159000
0.11333390,3.71547600
0.12000060,3.70662500
0.12666730,3.70784600
0.13333400,3.71334000
0.14000070,3.70616800
0.14666740,3.71166100
0.15333410,3.69975900
0.16000080,3.71395000
0.16666750,3.71501800
0.17333420,3.70510000
0.18000090,3.71868000
0.18666760,3.70647300
0.19333430,3.70662500
0.20000100,3.71746000
0.20666770,3.69960600
0.21333440,3.71456000
0.22000110,3.70830400
0.22666780,3.70204800
0.23333450,3.71227100
0.24000120,3.71150900
0.24666790,3.71608600
0.25333460,3.71303400
0.26000130,3.71059300
0.26666800,3.71501800
0.27333470,3.70204800
0.28000140,3.71639200
0.28666810,3.70555700
0.29333480,3.70754100
0.30000150,3.70906700
0.30666819,3.70494700
0.31333489,3.71395000
0.32000159,3.71379700
0.32666829,3.71761200
0.33333499,3.70937200
0.34000169,3.70891500
0.34666839,3.70555700
0.35333509,3.70799900
0.36000179,3.70540500
0.36666849,3.70830400
0.37333519,3.70281100
0.38000189,3.69518100
0.38666859,3.71791700
0.39333529,3.70860900
0.40000199,3.70677800
0.40666869,3.73088800
0.41333539,3.68770400
0.42000209,3.72264800
0.42666879,3.69457100
0.43333549,3.71013500
0.44000219,3.70922000
0.44666889,3.68526300
0.45333559,3.72570000
0.46000229,3.68800900
0.46666899,3.71868000
0.47333569,3.71761200
0.48000239,3.70128500
0.48666909,3.72371600
0.49333579,3.69609700
0.50000249,3.71471300
0.50666919,3.70128500
0.51333589,3.70143700
0.52000259,3.71181400
0.52666929,3.69731700
0.53333599,3.71959600
0.54000269,3.70754100
0.54666939,3.71654400
0.55333609,3.71593400
0.56000279,3.70296300
0.56666949,3.71181400
0.57333619,3.70540500
0.58000289,3.70281100
0.58666959,3.70326900
0.59333629,3.70403100
0.60000299,3.71272900
0.60666969,3.70372600
0.61333639,3.72035900
0.62000309,3.71211900
0.62666979,3.70281100
0.63333649,3.72066400
0.64000319,3.69609700
0.64666989,3.70616800
0.65333659,3.71425500
0.66000329,3.69472300
0.66666999,3.71013500
0.67333669,3.70937200
0.68000339,3.71349200
0.68667009,3.71608600
0.69333679,3.71166100
0.70000349,3.71135600
0.70667019,3.70143700
0.71333689,3.71257700
0.72000359,3.70738900
0.72667029,3.69930100
0.73333699,3.71547600
0.74000369,3.70357400
0.74667039,3.70525200
0.75333709,3.71746000
0.76000379,3.71395000
0.76667049,3.71120300
0.77333719,3.71227100
0.78000389,3.70876200
0.78667059,3.70372600
0.79333729,3.70418400
0.80000399,3.71654400
0.80667069,3.69701200
0.81333739,3.71211900
0.82000409,3.71547600
0.82667079,3.69197700
0.83333749,3.73287200
0.84000419,3.69289200
0.84667089,3.71562900
0.85333759,3.71028800
0.86000429,3.68846700
0.86667099,3.72478400
0.87333769,3.68236300
0.88000439,3.72524200
0.88667109,3.70098000
0.89333779,3.69747000
0.90000449,3.73027700
0.90667119,3.68785700
0.91333788,3.72264800
0.92000458,3.71532300
0.92667128,3.69167200
0.93333798,3.71608600
0.94000468,3.70113200
0.94667138,3.70632000
0.95333808,3.71303400
0.96000478,3.71059300
0.96667148,3.70601500
0.97333818,3.71166100
0.98000488,3.71227100
0.98667158,3.71593400
0.99333828,3.70860900
1.00000498,3.71044000
1.00667168,3.71089800
1.01333838,3.69869100
1.02000508,3.72539400
1.02667178,3.70586300
1.03333848,3.70723600
1.04000518,3.70418400
1.04667188,3.70540500
1.05333858,3.71990100
1.06000528,3.72798800
1.06667198,3.69960600
1.07333868,3.70159000
1.08000538,3.70784600
1.08667208,3.69762300
1.09333878,3.73226100
1.10000548,3.70586300
1.10667218,3.70204800
1.11333888,3.70983000
1.12000558,3.68846700
1.12667228,3.72615700
1.13333898,3.70265800
1.14000568,3.71272900
1.14667238,3.72753100
1.15333908,3.70601500
1.16000578,3.72753100
1.16667248,3.71974800
1.17333918,3.70632000
