Time,Channel A
(s),(V)

0.00000000,4.83932000
0.00666670,4.66795900
0.01333340,4.83687900
0.02000010,4.82970700
0.02666680,4.74562800
0.03333350,4.81414200
0.04000020,4.73052200
0.04666690,4.84237200
0.05333360,4.84160900
0.06000030,4.83840500
0.06666700,4.70992100
0.07333370,4.73708300
0.08000040,4.68718500
0.08666710,4.84435600
0.09333380,4.73830400
0.10000050,4.83291100
0.10666720,4.80971700
0.11333390,4.75631000
0.12000060,4.84237200
0.12666730,4.81322700
0.13333400,4.84450800
0.14000070,4.82894400
0.14666740,4.71923000
0.15333410,4.68810100
0.16000080,4.75798800
0.16666750,4.82650200
0.17333420,4.82543400
0.18000090,4.82436600
0.18666760,4.83626800
0.19333430,4.67650400
0.20000100,4.84283000
0.20666770,4.84359300
0.21333440,4.79506800
0.22000110,4.84695000
0.22666780,4.83413200
0.23333450,4.78576000
0.24000120,4.84206700
0.24666790,4.75585200
0.25333460,4.84283000
0.26000130,4.84496600
0.26666800,4.83687900
0.27333470,4.84298200
0.28000140,4.71541500
0.28666810,4.68947400
0.29333480,4.84572900
0.30000150,4.78469200
0.30666819,4.67558800
0.31333489,4.83397900
0.32000159,4.62294400
0.32666829,4.69847700
0.33333499,4.73143700
0.34000169,4.84206700
0.34666839,4.84252500
0.35333509,4.84176200
0.36000179,4.71984000
0.36666849,4.84420300
0.37333519,4.84115100
0.38000189,4.82467100
0.38666859,4.71404200
0.39333529,4.83932000
0.40000199,4.84481300
0.40666869,4.70976900
0.41333539,4.83962500
0.42000209,4.73525200
0.42666879,4.83611600
0.43333549,4.71037900
0.44000219,4.84344000
0.44666889,4.84252500
0.45333559,4.84496600
0.46000229,4.83916800
0.46666899,4.83947300
0.47333569,4.83779400
0.48000239,4.83733700
0.48666909,4.84038800
0.49333579,4.84206700
0.50000249,4.68001400
0.50666919,4.66933200
0.51333589,4.84160900
0.52000259,4.84206700
0.52666929,4.71327900
0.53333599,4.84344000
0.54000269,4.84206700
0.54666939,4.84618700
0.55333609,4.84588100
0.56000279,4.84130400
0.56666949,4.65514100
0.57333619,4.83748900
0.58000289,4.82055100
0.58666959,4.84221900
0.59333629,4.80391800
0.60000299,4.73937200
0.60666969,4.84206700
0.61333639,4.84206700
0.62000309,4.83550500
0.62666979,4.79735700
0.63333649,4.80697100
0.64000319,4.84130400
0.64666989,4.84069300
0.65333659,4.63148900
0.66000329,4.77797800
0.66666999,4.80636000
0.67333669,4.82619700
0.68000339,4.83703100
0.68667009,4.66582300
0.69333679,4.84130400
0.70000349,4.80315500
0.70667019,4.73921900
0.71333689,4.82070400
0.72000359,4.84298200
0.72667029,4.81460000
0.73333699,4.84710200
0.74000369,4.81841500
0.74667039,4.79445800
0.75333709,4.84176200
0.76000379,4.84191400
0.76667049,4.83977800
0.77333719,4.83672600
0.78000389,4.84084600
0.78667059,4.84283000
0.79333729,4.84221900
0.80000399,4.68947400
0.80667069,4.84206700
0.81333739,4.83932000
0.82000409,4.84298200
0.82667079,4.84160900
0.83333749,4.84176200
0.84000419,4.80971700
0.84667089,4.76653300
0.85333759,4.84176200
0.86000429,4.80864900
0.86667099,4.84496600
0.87333769,4.84054100
0.88000439,4.66521200
0.88667109,4.67284200
0.89333779,4.76287100
0.90000449,4.80651300
0.90667119,4.77523100
0.91333788,4.84115100
0.92000458,4.84099900
0.92667128,4.82924900
0.93333798,4.71663600
0.94000468,4.82741800
0.94667138,4.80391800
0.95333808,4.77095800
0.96000478,4.76836400
0.96667148,4.84069300
0.97333818,4.82726500
0.98000488,4.83687900
0.98667158,4.64415400
0.99333828,4.84038800
1.00000498,4.73235300
1.00667168,4.70107100
1.01333838,4.83092700
1.02000508,4.84023600
1.02667178,4.84679700
1.03333848,4.63622000
1.04000518,4.70152900
1.04667188,4.84130400
1.05333858,4.83504700
1.06000528,4.83977800
1.06667198,4.72045000
1.07333868,4.75951400
1.08000538,4.66994200
1.08667208,4.81429500
1.09333878,4.75386800
1.10000548,4.67803000
1.10667218,4.84435600
1.11333888,4.84252500
1.12000558,4.84099900
1.12667228,4.79720400
1.13333898,4.65254700
1.14000568,4.72380700
1.14667238,4.83596300
1.15333908,4.84374500
1.16000578,4.73326800
1.16667248,4.83932000
1.17333918,4.84481300
