Time,Channel A
(s),(V)

0.00000000,2.71095900
0.00666670,2.70195600
0.01333340,2.72896500
0.02000010,2.70653400
0.02666680,2.72072500
0.03333350,2.71782600
0.04000020,2.70561800
0.04666690,2.71630000
0.05333360,2.70516100
0.06000030,2.71904700
0.06666700,2.71324800
0.07333370,2.70653400
0.08000040,2.71996200
0.08666710,2.71538400
0.09333380,2.71507900
0.10000050,2.72713400
0.10666720,2.70638100
0.11333390,2.71248500
0.12000060,2.71416400
0.12666730,2.70561800
0.13333400,2.71630000
0.14000070,2.72454000
0.14666740,2.69844700
0.15333410,2.72469300
0.16000080,2.70958600
0.16666750,2.71111200
0.17333420,2.72652400
0.18000090,2.70363500
0.18666760,2.72225100
0.19333430,2.70317700
0.20000100,2.71248500
0.20666770,2.71645300
0.21333440,2.70363500
0.22000110,2.72209800
0.22666780,2.70821300
0.23333450,2.71401100
0.24000120,2.72026700
0.24666790,2.71004400
0.25333460,2.72881200
0.26000130,2.70119300
0.26666800,2.72240400
0.27333470,2.70668600
0.28000140,2.70348200
0.28666810,2.72133500
0.29333480,2.70256700
0.30000150,2.71981000
0.30666819,2.72515000
0.31333489,2.70317700
0.32000159,2.72652400
0.32666829,2.71385800
0.33333499,2.71401100
0.34000169,2.71492700
0.34666839,2.71034900
0.35333509,2.69875200
0.36000179,2.72377700
0.36666849,2.71263800
0.37333519,2.72377700
0.38000189,2.70973800
0.38666859,2.72209800
0.39333529,2.71584200
0.40000199,2.70622900
0.40666869,2.73323800
0.41333539,2.69844700
0.42000209,2.71126400
0.42666879,2.71797800
0.43333549,2.69478400
0.44000219,2.74086700
0.44666889,2.70668600
0.45333559,2.72194600
0.46000229,2.71919900
0.46666899,2.70439800
0.47333569,2.73476400
0.48000239,2.69249600
0.48666909,2.72896500
0.49333579,2.71126400
0.50000249,2.69234300
0.50666919,2.74239300
0.51333589,2.69646300
0.52000259,2.72820200
0.52666929,2.72545600
0.53333599,2.70226100
0.54000269,2.73522100
0.54666939,2.70165100
0.55333609,2.72118300
0.56000279,2.71645300
0.56666949,2.70210900
0.57333619,2.72042000
0.58000289,2.70500800
0.58666959,2.71874100
0.59333629,2.71782600
0.60000299,2.71736800
0.60666969,2.71401100
0.61333639,2.71767300
0.62000309,2.72301400
0.62666979,2.71218000
0.63333649,2.72240400
0.64000319,2.70378700
0.64666989,2.70729700
0.65333659,2.72331900
0.66000329,2.70088800
0.66666999,2.72896500
0.67333669,2.71324800
0.68000339,2.72255600
0.68667009,2.71996200
0.69333679,2.71950400
0.70000349,2.71874100
0.70667019,2.70241400
0.71333689,2.71492700
0.72000359,2.71294300
0.72667029,2.69737800
0.73333699,2.72484500
0.74000369,2.70867000
0.74667039,2.71828400
0.75333709,2.73125400
0.76000379,2.71630000
0.76667049,2.72225100
0.77333719,2.71767300
0.78000389,2.71141700
0.78667059,2.70577100
0.79333729,2.70638100
0.80000399,2.71202700
0.80667069,2.70592400
0.81333739,2.73033800
0.82000409,2.72209800
0.82667079,2.71874100
0.83333749,2.72072500
0.84000419,2.72240400
0.84667089,2.70699200
0.85333759,2.71385800
0.86000429,2.71523200
0.86667099,2.69188500
0.87333769,2.72103000
0.88000439,2.71828400
0.88667109,2.71126400
0.89333779,2.73522100
0.90000449,2.71492700
0.90667119,2.71767300
0.91333788,2.71630000
0.92000458,2.72515000
0.92667128,2.70348200
0.93333798,2.70775500
0.94000468,2.72270900
0.94667138,2.69509000
0.95333808,2.72362400
0.96000478,2.72835500
0.96667148,2.71004400
0.97333818,2.72820200
0.98000488,2.71630000
0.98667158,2.71507900
0.99333828,2.71584200
1.00000498,2.71340100
1.00667168,2.71080700
1.01333838,2.70561800
1.02000508,2.72133500
1.02667178,2.71080700
1.03333848,2.72026700
1.04000518,2.73140700
1.04667188,2.70760200
1.05333858,2.72393000
1.06000528,2.71385800
1.06667198,2.71034900
1.07333868,2.72011500
1.08000538,2.70851800
1.08667208,2.71721600
1.09333878,2.70958600
1.10000548,2.72164100
1.10667218,2.72606600
1.11333888,2.71126400
1.12000558,2.72774400
1.12667228,2.70531300
1.13333898,2.71965700
1.14000568,2.71507900
1.14667238,2.70867000
1.15333908,2.71736800
1.16000578,2.70516100
1.16667248,2.72545600
1.17333918,2.71797800
