Time,Channel A
(s),(V)

0.00000000,3.23770900
0.00666670,3.24030300
0.01333340,3.23648800
0.02000010,3.23816600
0.02666680,3.23862400
0.03333350,3.23923500
0.04000020,3.23831900
0.04666690,3.23847200
0.05333360,3.23908200
0.06000030,3.23740300
0.06666700,3.23862400
0.07333370,3.23984500
0.08000040,3.23694600
0.08666710,3.23908200
0.09333380,3.23801400
0.10000050,3.23831900
0.10666720,3.24060800
0.11333390,3.23648800
0.12000060,3.23725100
0.12666730,3.24152400
0.13333400,3.23786100
0.14000070,3.23938700
0.14666740,3.23954000
0.15333410,3.23496200
0.16000080,3.23725100
0.16666750,3.23923500
0.17333420,3.23801400
0.18000090,3.23984500
0.18666760,3.23664000
0.19333430,3.23816600
0.20000100,3.23801400
0.20666770,3.23801400
0.21333440,3.23740300
0.22000110,3.23709800
0.22666780,3.23877700
0.23333450,3.23740300
0.24000120,3.23954000
0.24666790,3.24076100
0.25333460,3.23603000
0.26000130,3.24213400
0.26666800,3.23831900
0.27333470,3.23786100
0.28000140,3.24045500
0.28666810,3.23679300
0.29333480,3.23908200
0.30000150,3.23694600
0.30666819,3.24213400
0.31333489,3.23877700
0.32000159,3.23786100
0.32666829,3.23999800
0.33333499,3.23831900
0.34000169,3.23954000
0.34666839,3.23923500
0.35333509,3.23526700
0.36000179,3.23786100
0.36666849,3.23801400
0.37333519,3.23480900
0.38000189,3.23786100
0.38666859,3.23877700
0.39333529,3.23831900
0.40000199,3.23664000
0.40666869,3.23801400
0.41333539,3.23816600
0.42000209,3.23831900
0.42666879,3.23984500
0.43333549,3.23770900
0.44000219,3.23923500
0.44666889,3.24045500
0.45333559,3.23603000
0.46000229,3.23770900
0.46666899,3.24076100
0.47333569,3.23618300
0.48000239,3.23984500
0.48666909,3.23816600
0.49333579,3.23557200
0.50000249,3.23618300
0.50666919,3.24167600
0.51333589,3.23618300
0.52000259,3.23694600
0.52666929,3.24030300
0.53333599,3.23526700
0.54000269,3.24121800
0.54666939,3.23862400
0.55333609,3.23694600
0.56000279,3.23999800
0.56666949,3.23801400
0.57333619,3.23786100
0.58000289,3.23770900
0.58666959,3.23877700
0.59333629,3.23770900
0.60000299,3.23694600
0.60666969,3.23740300
0.61333639,3.23770900
0.62000309,3.23786100
0.62666979,3.23969200
0.63333649,3.23603000
0.64000319,3.23572500
0.64666989,3.23908200
0.65333659,3.23603000
0.66000329,3.23984500
0.66666999,3.23786100
0.67333669,3.23740300
0.68000339,3.23831900
0.68667009,3.23877700
0.69333679,3.23679300
0.70000349,3.23603000
0.70667019,3.23984500
0.71333689,3.23526700
0.72000359,3.23572500
0.72667029,3.23786100
0.73333699,3.23496200
0.74000369,3.23694600
0.74667039,3.23786100
0.75333709,3.23343600
0.76000379,3.23862400
0.76667049,3.23740300
0.77333719,3.23404600
0.78000389,3.23618300
0.78667059,3.23786100
0.79333729,3.23419900
0.80000399,3.23618300
0.80667069,3.23587800
0.81333739,3.23267300
0.82000409,3.23603000
0.82667079,3.23740300
0.83333749,3.23679300
0.84000419,3.23709800
0.84667089,3.23816600
0.85333759,3.23557200
0.86000429,3.23480900
0.86667099,3.23603000
0.87333769,3.23343600
0.88000439,3.23587800
0.88667109,3.23572500
0.89333779,3.23557200
0.90000449,3.23542000
0.90667119,3.23694600
0.91333788,3.23664000
0.92000458,3.23740300
0.92667128,3.23725100
0.93333798,3.23496200
0.94000468,3.23648800
0.94667138,3.23618300
0.95333808,3.23328400
0.96000478,3.23603000
0.96667148,3.23786100
0.97333818,3.23542000
0.98000488,3.23542000
0.98667158,3.23770900
0.99333828,3.23648800
1.00000498,3.23618300
1.00667168,3.23740300
1.01333838,3.23282600
1.02000508,3.23587800
1.02667178,3.23679300
1.03333848,3.23374100
1.04000518,3.23587800
1.04667188,3.23786100
1.05333858,3.23572500
1.06000528,3.23786100
1.06667198,3.23969200
1.07333868,3.23496200
1.08000538,3.23908200
1.08667208,3.23786100
1.09333878,3.23465700
1.10000548,3.23770900
1.10667218,3.23694600
1.11333888,3.23603000
1.12000558,3.23572500
1.12667228,3.23664000
1.13333898,3.23664000
1.14000568,3.23572500
1.14667238,3.23770900
1.15333908,3.23480900
1.16000578,3.23572500
1.16667248,3.23816600
1.17333918,3.23496200
